Entity,Country,Symbol:Exchange,# of BTC,Value Today,% of 21m
Marathon Digital Holdings Inc,USA,MARA:NADQ,"52,477","$6,366,194,253",0.25%
"Riot Platforms, Inc.",USA,RIOT:NADQ,"19,309","$2,342,451,832",0.092%
CleanSpark Inc,USA,CLSK:NASDAQ,"12,827","$1,556,094,549",0.061%
Hut 8 Corp,Canada,HUT:NASDAQ,"10,278","$1,246,865,189",0.049%
Cango Inc.,China,CANG:NYSE,"5,277.1","$640,186,056",0.025%
Ionic Digital Inc.,USA,N/A,"2,574","$312,262,210",0.012%
HIVE Digital Technologies,Canada,HIVE:NASDAQ,"2,201","$267,012,091",0.01%
Bitdeer Technologies Group,Singapore,BTDR:NASDAQ,"1,934.9","$234,730,439",0.009%
"BitFuFu, Inc.",Singapore,FUFU:NASDAQ,"1,899","$230,375,267",0.009%
"Core Scientific, Inc.",USA,CORZ:NASDAQ,"1,612","$195,558,151",0.008%
Canaan Inc.,China,CAN:NASDAQ,"1,547","$187,672,742",0.007%
Cipher Mining,USA,CIFR:NASDAQ,"1,414","$171,537,981",0.007%
Bitfarms Limited,Canada,BITF:NASDAQ,"1,402","$170,082,213",0.007%
SOS Limited,China,SOS:NYSE,802.8,"$97,390,871",0.004%
Alliance Resource Partners,USA,ARLP:NASDAQ,542,"$65,752,182",0.003%
Neptune Digital Assets,Canada,NPPTF:OTCMKTS,405,"$49,132,165",0.002%
American Bitcoin Corp.,USA,ABTC:NASDAQ,404,"$49,010,851",0.002%
DMG Blockchain Solutions Inc.,Canada,DMGGF:OTCMKTS,324,"$39,305,732",0.002%
"LM Funding America, Inc.",USA,LMFA:NASDAQ,311.2,"$37,752,913",0.001%
The9 Limited,China,NCTY:NASDAQ,285,"$34,574,487",0.001%
Vinanz Limited (London BTC Company),UK,VINZF:OTCQX,86.0,"$10,433,003",0.0%
Digi Power X Inc. (Digihost),USA,HSSHF:OTCMKTS,85,"$10,311,689",0.0%
Cathedra Bitcoin Inc.,USA,CBTTF:OTCMKTS,28.9,"$3,505,974",0.0%
"Investview, Inc.",USA,INVU:OTCMKTS,26.0,"$3,154,163",0.0%
SATO Technologies Corp.,Canada,SATO:TSXV,24,"$2,911,535",0.0%
Sphere 3D Corp,Canada,ANY:NASDAQ,20.5,"$2,486,936",0.0%
Thumzup Media Corporation,USA,TZUP:NASDAQ,19.1,"$2,317,097",0.0%
Abits Group Inc.,USA,ABTS:NASDAQ,15.7,"$1,904,629",0.0%
Argo Blockchain PLC,UK,ARBKF:OTCMKTS,11,"$1,334,453",0.0%
CryptoStar Corp.,Canada,CSTR:TSXV,7.6,"$921,986",0.0%
BIT Mining Limited,China,BTCM:NYSE,7.3,"$885,592",0.0%
AgriFORCE Growing Systems Ltd.,Canada,AGRI:NASDAQ,6.8,"$824,935",0.0%
TeraWulf Inc.,USA,WULF:NASDAQ,0,$0,0.0%
"Bit Digital, Inc.",USA,BTBT:NASDAQ,0,$0,0.0%
