,ticker,quarter,net_income,total_assets,total_debt,cash,shareholder_equity,shares_outstanding,stock_price,roa,log_assets,leverage,liquidity,market_cap,pb_ratio,btc_price,log_btc_price,hashrate,log_hashrate
15,ABTS,2021q1,-1677049.0,3627303.0,91565.0,3627303.0,2306851.0,1079435.0,26.25,-0.4623404772085486,15.103999954891556,0.025243273032332838,1.0,28335168.75,12.283051116001857,55783.71,10.929237170264072,164128360.68598944,18.91615936675834
16,ABTS,2020q4,-387160.0,2192192.0,382257.0,19402.0,91280.0,1289435.0,16.65,-0.17660861822322133,14.60041251445503,0.17437204405453538,0.008850502145797448,21469092.75,235.20040260736195,28856.59,10.270093668728663,153482070.38176647,18.84909431283874
17,ABTS,2020q3,78398.0,2295657.0,359549.0,5249.0,400773.0,1079435.0,13.35,0.0341505721455775,14.646529635017858,0.1566213942239629,0.0022864914052926895,14410457.25,35.95665688556864,10840.8,9.291072073008504,149781337.3136051,18.82468703726483
18,ABTS,2020q2,-84511.0,630563.0,297219.0,441749.0,147999.0,1079435.0,10.2,-0.13402467318888042,13.35436835009323,0.4713549637387541,0.7005628303595358,11010237.0,74.39399590537774,9185.35,9.125365102530195,115344676.145677,18.56343538760194
19,ABTS,2020q1,-147721.0,1495992.0,296510.0,8114.0,156633.0,1079435.0,28.35,-0.09874451200273798,14.218300089908679,0.19820293156647897,0.005423825795859871,30601982.25,195.37378617532704,5885.41,8.680231685916738,101664512.290166,18.437188855090522
21,ABTS,2019q3,224418.0,1741770.0,301581.0,38019.0,345603.0,1289435.0,30.0,0.12884479581115763,14.370412395530616,0.1731462822301452,0.02182779586282919,38683050.0,111.92914992057361,8193.9,9.011145253980601,100852756.01995,18.42917214990334
22,ABTS,2019q2,-90131.0,45937.0,7695939.0,45937.0,-9002134.0,1870188.0,17.4,-1.9620567298691687,10.735026171542216,167.53246838060824,1.0,32541271.199999996,-3.614839681346667,11132.85,9.31765547618065,64293187.5738079,17.978964236064808
23,ABTS,2019q1,-53348.0,9146.0,7695939.0,9146.0,-8931544.0,898096.0,39.75,-5.832932429477367,9.121071904218,841.4540782855893,1.0,35699316.0,-3.9969926812206267,4048.51,8.306104191173755,46298790.8217788,17.650626402555144
24,ABTS,2018q4,1078.0,303962.0,7300143.0,303962.0,-10377333.0,898096.0,42.3,0.003546495943571894,12.624657972575207,24.016630368269716,1.0,37989460.8,-3.6608115784662587,3770.36,8.23492576659929,44676132.2352876,17.614949962511506
25,ABTS,2018q3,-2929788.0,299737.0,7323439.0,129736.0,-10381558.0,910096.0,131.25,-9.774529003759962,12.610660702474716,24.43288282727858,0.4328327834067866,119450100.0,-11.505989756065516,6628.66,8.799157951138728,54045018.5377396,17.80532793383802
26,ABTS,2018q2,-2040028.0,2003975.0,6483493.0,449226.0,-7620791.0,895429.0,216.75,-1.0179907433974975,14.510643266059178,3.2353163088361883,0.22416746715902144,194084235.75,-25.4677284483986,5878.14,8.67899566432027,38112980.7562709,17.45606548433542
27,ABTS,2018q1,-1746315.0,1385989.0,5587774.0,53677.0,-6887502.0,893429.0,262.5,-1.2599775322892173,14.141924522192555,4.031614969527175,0.03872830159546721,234525112.5,-34.050823143136654,7950.61,8.981003934264564,26162835.2122593,17.07985045835414
28,ABTS,2017q4,-1879283.0,882260.0,3579270.0,253761.0,-4927563.0,893429.0,181.3725,-2.130078434928479,13.690242076128989,4.056933330310793,0.28762609661551014,162043451.3025,-32.88511000315978,12612.54,9.442446836113723,15177350.2495293,16.53531475932822
29,ABTS,2017q3,-2826592.0,1360468.0,2457919.0,18494.0,-2958970.0,893575.0,242.25,-2.0776615105978236,14.123339316164396,1.8066716747472193,0.013593851527562574,216468543.75,-73.15672134222382,4164.27,8.334296269131299,7569349.3884371,15.839617675674761
30,ABTS,2017q2,-2013710.0,2475396.0,985668.0,401805.0,-164399.0,893429.0,183.0,-0.8134900436132239,14.721910941186293,0.3981859872117431,0.16231948342810604,163497507.0,-994.5164325817067,2541.69,7.840584493093233,5448313.58083809,15.510816684046022
31,ABTS,2017q1,-6050445.0,3074495.0,125619.0,859890.0,1844225.0,893280.0,237.75,-1.967947581635358,14.938651218093643,0.04085841739862969,0.2796849563912122,212377320.0,115.15803115129661,1039.77,6.946754813831147,4073274.03319987,15.219957664799406
32,ABTS,2016q4,-2803003.0,8577716.0,131154.0,3011186.0,5617711.0,870637.0,390.0,-0.32677731461382026,15.964678235560312,0.01529008421355988,0.3510475282697632,339548430.0,60.442488052518186,930.34,6.8355501107329,2589949.6705277,14.767149001258225
33,ABTS,2016q3,-4431641.0,5934603.0,2552565.0,76580.0,-10162.0,850918.0,498.75,-0.7467459912651276,15.596310692465918,0.4301155443759254,0.012903980266245273,424395352.5,-41762.975054123206,606.79,6.408182767444053,2026558.28894994,14.521849487997287
34,ABTS,2016q2,-3852653.0,8252359.0,2839158.0,96587.0,4452325.0,1131614.0,303.75,-0.46685475025989537,15.926009656831926,0.34404198847868833,0.011704168468676654,343727752.5,77.2018557719843,630.19,6.4460213612188575,1530560.02931465,14.24114425862696
35,ABTS,2016q1,-2725462.0,10100217.0,1268518.0,123529.0,8326578.0,1182948.0,375.0,-0.26984192517843925,16.1280674667292,0.12559314319682438,0.012230331288921812,443605500.0,53.275847533044185,413.74,6.025237757214903,1028361.53707217,13.84347735292782
36,ABTS,2015q4,-2804228.0,11595646.0,2205299.0,1249611.0,2806301.0,1431113.0,386.25,-0.24183456445634852,16.266140240789504,0.19018336710175526,0.10776553544321722,552767396.25,196.97366613559984,433.23,6.071268764806583,803647.041574125,13.59691544875381
37,ABTS,2015q3,-2110007.0,13074206.0,1462525.0,2398713.0,5505091.0,1367232.0,450.0,-0.16138700889369495,16.38615183949389,0.11186338963911079,0.18346911468275778,615254400.0,111.76098633065284,239.14,5.477049154491434,510276.701353941,13.142708409246957
38,ABTS,2015q2,-1916140.0,12122935.0,9583503.0,2722177.0,-8373915.0,1322000.0,427.5,-0.15805908387696543,16.3106096710052,0.7905266340205569,0.22454768585330204,565155000.0,-67.48993750235105,248.57,5.51572449601031,336442.885099528,12.726183681415684
39,ABTS,2015q1,-1160237.0,9288635.0,7635412.0,693419.0,-6542777.0,1322000.0,397.5,-0.12490931121741784,16.044302167809285,0.8220165826302789,0.07465241125310662,525495000.0,-80.31681348760625,252.96,5.533231373461162,350673.640380369,12.7676112704302
40,ABTS,2014q4,-987261.0,2323402.0,6570863.0,1064561.0,-5431935.0,1322000.0,438.75,-0.4249204399410864,14.658543048868578,2.828121435722273,0.45819061875646144,580027500.0,-106.78100897746383,311.0,5.739792912179234,313142.288941348,12.654412963480965
