Company,Symbol
Abits Group Inc,ABTS
Alliance Resource Partners LP,ARLP
American Bitcoin Corp,ABTC
Applied Digital Corp,APLD
Argo Blockchain plc,ARBK
Bit Origin Ltd,BTOG
Bitdeer Technologies Group,BTDR
Bitfarms Ltd,BITF
BitFuFu Inc,FUFU
BitMine Immersion Technologies,BMNR
Canaan Inc,CAN
Cango Inc,CANG
Cipher Mining Inc,CIFR
CleanSpark Inc,CLSK
Core Scientific Inc,CORZ
Digi Power X Inc,DGXX
Greenidge Generation Holdings,GREE
HIVE Digital Technologies,HIVE
Hut 8 Corp,HUT
Hyperscale Data Inc,GPUS
Iris Energy Ltd,IREN
LM Funding America Inc,LMFA
MARA Holdings Inc,MARA
Mawson Infrastructure Group,MIGI
Riot Platforms Inc,RIOT
SAI.TECH Global Corp,SAIH
SOLAI Limited,SLAI
Soluna Holdings Inc,SLNH
SOS Limited,SOS
Sphere 3D Corp,ANY
TeraWulf Inc,WULF
The OLB Group Inc,OLB
The9 Limited,NCTY
