ticker,quarter,field,raw_value
ABTS,2025q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2024q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2024q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2024q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2023q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2023q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2023q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2023q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2022q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2022q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2022q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2022q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2021q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2021q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2021q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2019q4,totalAssets,'None'
ABTS,2019q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2019q4,cash (cashAndCashEquivalentsAtCarryingValue/cashAndShortTermInvestments/cash),"{'cashAndCashEquivalentsAtCarryingValue': 'None', 'cashAndShortTermInvestments': 'None', 'cash': None}"
ABTS,2019q4,totalShareholderEquity,'None'
ABTS,2014q1,price_report,MISSING
ABTS,2013q4,totalAssets,'None'
ABTS,2013q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
ABTS,2013q4,cash (cashAndCashEquivalentsAtCarryingValue/cashAndShortTermInvestments/cash),"{'cashAndCashEquivalentsAtCarryingValue': 'None', 'cashAndShortTermInvestments': 'None', 'cash': None}"
ABTS,2013q4,price_report,MISSING
ARLP,2008q4,btc_price,MISSING from btc_dict
ARLP,2008q4,hashrate,MISSING from hash_dict
ARLP,2008q3,btc_price,MISSING from btc_dict
ARLP,2008q3,hashrate,MISSING from hash_dict
ARLP,2008q2,btc_price,MISSING from btc_dict
ARLP,2008q2,hashrate,MISSING from hash_dict
ARLP,2008q1,btc_price,MISSING from btc_dict
ARLP,2008q1,hashrate,MISSING from hash_dict
ARLP,2007q4,btc_price,MISSING from btc_dict
ARLP,2007q4,hashrate,MISSING from hash_dict
ARLP,2007q3,btc_price,MISSING from btc_dict
ARLP,2007q3,hashrate,MISSING from hash_dict
ARLP,2007q2,btc_price,MISSING from btc_dict
ARLP,2007q2,hashrate,MISSING from hash_dict
ARLP,2007q1,btc_price,MISSING from btc_dict
ARLP,2007q1,hashrate,MISSING from hash_dict
ARLP,2006q4,btc_price,MISSING from btc_dict
ARLP,2006q4,hashrate,MISSING from hash_dict
ARLP,2006q3,btc_price,MISSING from btc_dict
ARLP,2006q3,hashrate,MISSING from hash_dict
ARLP,2006q2,btc_price,MISSING from btc_dict
ARLP,2006q2,hashrate,MISSING from hash_dict
ARLP,2006q1,btc_price,MISSING from btc_dict
ARLP,2006q1,hashrate,MISSING from hash_dict
ARLP,2005q4,btc_price,MISSING from btc_dict
ARLP,2005q4,hashrate,MISSING from hash_dict
ARLP,2005q3,btc_price,MISSING from btc_dict
ARLP,2005q3,hashrate,MISSING from hash_dict
APLD,2021q1,totalAssets,'None'
APLD,2021q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2021q1,cash (cashAndCashEquivalentsAtCarryingValue/cashAndShortTermInvestments/cash),"{'cashAndCashEquivalentsAtCarryingValue': 'None', 'cashAndShortTermInvestments': 'None', 'cash': None}"
APLD,2021q1,totalShareholderEquity,'None'
APLD,2020q4,totalAssets,'None'
APLD,2020q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2020q4,cash (cashAndCashEquivalentsAtCarryingValue/cashAndShortTermInvestments/cash),"{'cashAndCashEquivalentsAtCarryingValue': 'None', 'cashAndShortTermInvestments': 'None', 'cash': None}"
APLD,2020q4,totalShareholderEquity,'None'
APLD,2020q3,totalAssets,'None'
APLD,2020q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2020q3,cash (cashAndCashEquivalentsAtCarryingValue/cashAndShortTermInvestments/cash),"{'cashAndCashEquivalentsAtCarryingValue': 'None', 'cashAndShortTermInvestments': 'None', 'cash': None}"
APLD,2008q4,btc_price,MISSING from btc_dict
APLD,2008q4,hashrate,MISSING from hash_dict
APLD,2008q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2008q3,price_report,MISSING
APLD,2008q3,btc_price,MISSING from btc_dict
APLD,2008q3,hashrate,MISSING from hash_dict
APLD,2008q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2008q2,price_report,MISSING
APLD,2008q2,btc_price,MISSING from btc_dict
APLD,2008q2,hashrate,MISSING from hash_dict
APLD,2008q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2008q1,price_report,MISSING
APLD,2008q1,btc_price,MISSING from btc_dict
APLD,2008q1,hashrate,MISSING from hash_dict
APLD,2007q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2007q4,price_report,MISSING
APLD,2007q4,btc_price,MISSING from btc_dict
APLD,2007q4,hashrate,MISSING from hash_dict
APLD,2007q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2007q3,price_report,MISSING
APLD,2007q3,btc_price,MISSING from btc_dict
APLD,2007q3,hashrate,MISSING from hash_dict
APLD,2007q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2007q2,price_report,MISSING
APLD,2007q2,btc_price,MISSING from btc_dict
APLD,2007q2,hashrate,MISSING from hash_dict
APLD,2007q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2007q1,price_report,MISSING
APLD,2007q1,btc_price,MISSING from btc_dict
APLD,2007q1,hashrate,MISSING from hash_dict
APLD,2006q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2006q4,price_report,MISSING
APLD,2006q4,btc_price,MISSING from btc_dict
APLD,2006q4,hashrate,MISSING from hash_dict
APLD,2006q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2006q3,price_report,MISSING
APLD,2006q3,btc_price,MISSING from btc_dict
APLD,2006q3,hashrate,MISSING from hash_dict
APLD,2006q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2006q2,price_report,MISSING
APLD,2006q2,btc_price,MISSING from btc_dict
APLD,2006q2,hashrate,MISSING from hash_dict
APLD,2006q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
APLD,2006q1,price_report,MISSING
