ticker,fiscal quarter,fiscal date,net income,total assets,roa,roa percent
ABTS,2025q1,2025-03-31,-447848.0,11371297.0,-0.0393840737780395,-3.94
ABTS,2024q3,2024-09-30,-447848.0,11371297.0,-0.0393840737780395,-3.94
ABTS,2024q2,2024-06-30,-6982.0,12202014.0,-0.0005722006219628,-0.06
ABTS,2024q1,2024-03-31,-6982.0,12202014.0,-0.0005722006219628,-0.06
ABTS,2023q4,2023-12-31,-9082174.0,12318268.0,-0.7372930999715219,-73.73
ABTS,2023q3,2023-09-30,-4541087.0,12318268.0,-0.3686465499857609,-36.86
ABTS,2023q2,2023-06-30,-3503076.0,21001534.0,-0.1668009584442736,-16.68
ABTS,2023q1,2023-03-31,-1751538.0,21001534.0,-0.0834004792221368,-8.34
ABTS,2022q4,2022-12-31,-10299020.0,24531417.0,-0.4198298043688222,-41.98
ABTS,2022q3,2022-09-30,-10299020.0,24531417.0,-0.4198298043688222,-41.98
ABTS,2022q2,2022-06-30,-461037.0,45354620.0,-0.0101651606826382,-1.02
ABTS,2022q1,2022-03-31,-461037.0,45354620.0,-0.0101651606826382,-1.02
ABTS,2021q4,2021-12-31,-556476.0,7737112.0,-0.0719229604017623,-7.19
ABTS,2021q3,2021-09-30,-556476.0,7737112.0,-0.0719229604017623,-7.19
ABTS,2021q2,2021-06-30,50151.0,3487548.0,0.014380017135248,1.44
ABTS,2021q1,2021-03-31,-1677049.0,3627303.0,-0.4623404772085486,-46.23
ABTS,2020q4,2020-12-31,-387160.0,2192192.0,-0.1766086182232213,-17.66
ABTS,2020q3,2020-09-30,78398.0,2295657.0,0.0341505721455775,3.42
ABTS,2020q2,2020-06-30,-84511.0,630563.0,-0.1340246731888804,-13.4
ABTS,2020q1,2020-03-31,-147721.0,1495992.0,-0.0987445120027379,-9.87
ABTS,2019q3,2019-09-30,224418.0,1741770.0,0.1288447958111576,12.88
ABTS,2019q2,2019-06-30,-90131.0,45937.0,-1.962056729869169,-196.21
ABTS,2019q1,2019-03-31,-53348.0,9146.0,-5.832932429477367,-583.29
ABTS,2018q4,2018-12-31,1078.0,303962.0,0.0035464959435718,0.35
ABTS,2018q3,2018-09-30,-2929788.0,299737.0,-9.774529003759962,-977.45
ABTS,2018q2,2018-06-30,-2040028.0,2003975.0,-1.0179907433974975,-101.8
ABTS,2018q1,2018-03-31,-1746315.0,1385989.0,-1.2599775322892173,-126.0
ABTS,2017q4,2017-12-31,-1879283.0,882260.0,-2.130078434928479,-213.01
ABTS,2017q3,2017-09-30,-2826592.0,1360468.0,-2.077661510597824,-207.77
ABTS,2017q2,2017-06-30,-2013710.0,2475396.0,-0.8134900436132239,-81.35
ABTS,2017q1,2017-03-31,-6050445.0,3074495.0,-1.967947581635358,-196.79
ABTS,2016q4,2016-12-31,-2803003.0,8577716.0,-0.3267773146138202,-32.68
ABTS,2016q3,2016-09-30,-4431641.0,5934603.0,-0.7467459912651276,-74.67
ABTS,2016q2,2016-06-30,-3852653.0,8252359.0,-0.4668547502598953,-46.69
ABTS,2016q1,2016-03-31,-2725462.0,10100217.0,-0.2698419251784392,-26.98
ABTS,2015q4,2015-12-31,-2804228.0,11595646.0,-0.2418345644563485,-24.18
ABTS,2015q3,2015-09-30,-2110007.0,13074206.0,-0.1613870088936949,-16.14
ABTS,2015q2,2015-06-30,-1916140.0,12122935.0,-0.1580590838769654,-15.81
ABTS,2015q1,2015-03-31,-1160237.0,9288635.0,-0.1249093112174178,-12.49
ABTS,2014q4,2014-12-31,-987261.0,2323402.0,-0.4249204399410864,-42.49
ABTS,2014q3,2014-09-30,-3620676.0,2860510.0,-1.265744919612237,-126.57
ABTS,2014q2,2014-06-30,-803689.0,4872365.0,-0.1649484387971755,-16.49
ABTS,2014q1,2014-03-31,-366977.0,4064293.0,-0.0902929488597401,-9.03
ARLP,2025q3,2025-09-30,95104000.0,2908341000.0,0.0327004295576068,3.27
ARLP,2025q2,2025-06-30,133319017.0,2869446000.0,0.0464615877071741,4.65
ARLP,2025q1,2025-03-31,73983000.0,2902735000.0,0.0254873421101133,2.55
ARLP,2024q4,2024-12-31,16330000.0,2915730000.0,0.0056006557534476,0.56
ARLP,2024q3,2024-09-30,86281000.0,3032173000.0,0.0284551705987752,2.85
ARLP,2024q2,2024-06-30,100187000.0,3052946000.0,0.0328164992109261,3.28
ARLP,2024q1,2024-03-31,158057000.0,2965787000.0,0.0532934428534483,5.33
ARLP,2023q4,2023-12-31,115444000.0,2788426000.0,0.0414011345468734,4.14
ARLP,2023q3,2023-09-30,153699000.0,2814041000.0,0.0546186071915796,5.46
ARLP,2023q2,2023-06-30,169790000.0,2787943000.0,0.0609015320614517,6.09
ARLP,2023q1,2023-03-31,191185000.0,2787749000.0,0.0685804209776418,6.86
ARLP,2022q4,2022-12-31,214453000.0,2728021000.0,0.078611198374206,7.86
ARLP,2022q3,2022-09-30,167708000.0,2504381000.0,0.0669658490461315,6.7
ARLP,2022q2,2022-06-30,163528000.0,2333191000.0,0.0700877039213677,7.01
ARLP,2022q1,2022-03-31,38083000.0,2225547000.0,0.017111748257844,1.71
